City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,11.41,63,0,2.57,US,1699053973
1,waitangi,-43.9535,-176.5597,16.57,94,82,3.13,NZ,1699053963
2,bilibino,68.0546,166.4372,-12.94,94,100,1.62,RU,1699053970
3,luderitz,-26.6481,15.1594,15.87,81,0,5.3,NA,1699054072
4,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1699053994
5,kayyerkan,69.3786,87.7439,-8.72,78,100,11.2,RU,1699054272
6,kingston,17.997,-76.7936,28.53,84,20,5.66,JM,1699054014
7,edinburgh of the seven seas,-37.0676,-12.3116,12.4,68,65,15.71,SH,1699053965
8,minas de marcona,-15.2119,-75.1103,15.46,73,8,5.82,PE,1699054050
9,brigantine,39.4101,-74.3646,11.68,71,0,2.06,US,1699054273
10,hastings,50.8552,0.5729,9.32,50,22,6.52,GB,1699054273
11,whangarei,-35.7317,174.3239,22.28,40,7,0.81,NZ,1699054273
12,puerto ayora,-0.7393,-90.3518,25.31,88,66,2.24,EC,1699053986
13,vila velha,-20.3297,-40.2925,26.08,86,20,7.2,BR,1699054274
14,ngorongoro,-3.2397,35.4875,11.72,96,100,2.27,TZ,1699054274
15,adamstown,-25.066,-130.1015,22.97,77,100,6.0,PN,1699053966
16,georgetown,5.4112,100.3354,25.96,92,20,1.54,MY,1699053710
17,shihezi,44.3,86.0333,1.18,37,20,6.9,CN,1699054275
18,grytviken,-54.2811,-36.5092,2.11,94,44,4.84,GS,1699053983
19,blackmans bay,-43.0167,147.3167,13.18,60,62,0.45,AU,1699053977
20,punta arenas,-53.15,-70.9167,10.06,46,0,3.6,CL,1699053975
21,oltinko'l,40.8011,72.1634,11.87,24,5,1.7,UZ,1699054276
22,bungoma,0.5635,34.5606,17.04,95,100,1.21,KE,1699054277
23,port-aux-francais,-49.35,70.2167,2.41,64,64,13.96,TF,1699053969
24,lihue,21.9789,-159.3672,29.09,65,0,5.14,US,1699054067
25,klyuchi,52.2667,79.1667,-3.64,77,99,5.54,RU,1699054020
26,key largo,25.0865,-80.4473,25.0,85,99,11.05,US,1699054209
27,nieuw amsterdam,5.8833,-55.0833,28.34,80,20,2.57,SR,1699054278
28,la'ie,21.6477,-157.9253,31.98,65,5,1.79,US,1699054278
29,uberlandia,-18.9186,-48.2772,24.26,71,92,2.05,BR,1699054224
30,zadar,44.1197,15.2422,12.34,82,40,8.75,HR,1699054279
31,miri,4.4148,114.0089,25.08,94,40,1.03,MY,1699054279
32,mount gambier,-37.8333,140.7667,13.26,51,82,5.82,AU,1699054074
33,sao felix do xingu,-6.6447,-51.995,22.53,94,78,0.65,BR,1699054087
34,emerald,-23.5333,148.1667,24.08,71,98,4.34,AU,1699054144
35,kapoeta,4.7717,33.5903,25.48,65,94,3.4,SS,1699054281
36,aykhal,66.0,111.5,-24.97,100,66,0.93,RU,1699054281
37,salaga,8.5508,-0.5188,27.05,65,60,3.1,GH,1699054281
38,saint-philippe,-21.3585,55.7679,22.77,84,67,1.15,RE,1699054012
39,anadyr,64.75,177.4833,-4.72,86,75,4.0,RU,1699054061
40,crane,31.3974,-102.3501,22.07,32,0,6.26,US,1699053999
41,stanley,54.868,-1.6985,5.29,93,20,5.14,GB,1699053890
42,hamilton,39.1834,-84.5333,14.13,38,0,2.57,US,1699053667
43,atafu village,-8.5421,-172.5159,28.35,74,100,5.74,TK,1699054015
44,kiama,-34.6833,150.8667,19.44,91,100,1.34,AU,1699054283
45,grootfontein,-19.5667,18.1167,20.76,60,72,2.06,NA,1699054283
46,coruripe,-10.1256,-36.1756,25.89,82,89,5.78,BR,1699054284
47,ungsang-nodongjagu,42.3578,130.4622,3.66,55,15,2.3,KP,1699054284
48,fort bragg,35.139,-79.006,11.32,56,0,0.0,US,1699054284
49,papatowai,-46.5619,169.4708,13.71,65,100,5.42,NZ,1699054003
50,ilulissat,69.2167,-51.1,-1.99,50,78,7.2,GL,1699054002
51,ulanhot,46.0833,122.0833,-3.95,53,91,2.08,CN,1699054285
52,puerto rosario,-24.45,-57.0833,15.81,74,2,2.02,PY,1699054285
53,talnakh,69.4865,88.3972,-8.77,93,100,10.43,RU,1699053968
54,salekhard,66.53,66.6019,-7.02,91,100,4.95,RU,1699054286
55,xilin hot,43.9667,116.0333,2.36,54,40,3.18,CN,1699054286
56,rio hato,8.3833,-80.1667,27.1,87,100,1.79,PA,1699054287
57,hawaiian paradise park,19.5933,-154.9731,28.73,69,20,4.63,US,1699054004
58,port mathurin,-19.6833,63.4167,24.61,77,84,6.53,MU,1699053996
59,port elizabeth,-33.918,25.5701,17.4,84,0,5.14,ZA,1699053972
60,tangalle,6.024,80.7911,24.78,88,97,0.07,LK,1699054288
61,koster,-25.863,26.8976,15.81,52,100,3.72,ZA,1699054289
62,albany,42.6001,-73.9662,10.33,51,69,3.05,US,1699053732
63,hermanus,-34.4187,19.2345,16.0,88,35,5.47,ZA,1699053978
64,pisco,-13.7,-76.2167,20.03,73,10,6.17,PE,1699053869
65,winkler,49.1817,-97.941,-2.88,68,6,1.54,CA,1699054124
66,genhe,50.7833,121.5167,-13.61,45,97,0.22,CN,1699054290
67,muisne,0.6,-80.0333,25.14,84,68,3.59,EC,1699054290
68,olpad,21.3333,72.75,23.58,39,8,3.36,IN,1699054290
69,puerto natales,-51.7236,-72.4875,6.11,85,53,2.19,CL,1699053974
70,newman,37.3138,-121.0208,26.83,37,5,1.34,US,1699053975
71,college,64.8569,-147.8028,-3.03,61,75,6.69,US,1699053977
72,queenstown,-31.8976,26.8753,19.79,65,100,1.22,ZA,1699053974
73,port lincoln,-34.7333,135.8667,15.08,65,47,8.14,AU,1699053962
74,saipan,15.1355,145.701,30.39,74,40,8.75,MP,1699054004
75,dudinka,69.4058,86.1778,-8.54,92,100,12.52,RU,1699054009
76,longyearbyen,78.2186,15.6401,-7.09,93,75,1.54,SJ,1699053965
77,ystad,55.4297,13.8204,8.5,90,100,2.62,SE,1699054292
78,pandan,14.0453,124.1694,27.83,83,43,2.77,PH,1699053969
79,afaahiti,-17.75,-149.2833,26.93,83,81,5.64,PF,1699054016
80,dakhla,23.6848,-15.958,20.65,89,0,9.1,EH,1699054016
81,cide,41.8921,33.0044,19.41,60,59,4.84,TR,1699054294
82,draganesti-olt,44.1667,24.5333,13.93,93,100,2.29,RO,1699054294
83,aasiaat,68.7098,-52.8699,-3.96,88,100,2.68,GL,1699054295
84,hobyo,5.3505,48.5268,26.9,82,67,3.13,SO,1699054295
85,zhob,31.3411,69.4481,13.5,32,84,0.71,PK,1699054295
86,avarua,-21.2078,-159.775,24.03,64,75,7.2,CK,1699053995
87,vila do maio,15.1333,-23.2167,26.44,80,47,7.93,CV,1699054296
88,cicero dantas,-10.6,-38.3833,24.54,74,93,3.9,BR,1699054296
89,thompson,55.7435,-97.8558,-8.91,73,40,4.63,CA,1699053969
90,turpan,42.9333,89.1667,9.54,37,12,4.01,CN,1699054298
91,ushuaia,-54.8,-68.3,6.81,57,75,4.63,AR,1699053889
92,ola,59.5833,151.2833,0.08,78,100,13.08,RU,1699054298
93,kosciusko,33.0576,-89.5876,13.79,32,0,1.61,US,1699054157
94,dombarovskiy,50.7587,59.5386,6.67,78,100,2.24,RU,1699054299
95,columbia,34.0007,-81.0348,13.0,49,0,0.0,US,1699054299
96,ketchikan,55.3422,-131.6461,9.26,100,100,0.0,US,1699054300
97,new norfolk,-42.7826,147.0587,13.84,44,34,1.45,AU,1699054300
98,sungai penuh,-2.0833,101.3833,19.63,91,42,0.83,ID,1699054300
99,nemuro,43.3236,145.575,10.31,85,100,5.65,JP,1699054023
100,mocimboa,-11.3167,40.35,25.07,78,100,4.74,MZ,1699054301
101,dunedin,-45.8742,170.5036,13.78,79,100,1.34,NZ,1699054211
102,invercargill,-46.4,168.35,13.9,77,100,5.81,NZ,1699054006
103,codrington,-38.2667,141.9667,13.68,53,97,7.77,AU,1699054301
104,fuerte olimpo,-21.0415,-57.8738,19.34,75,78,1.33,PY,1699054302
105,bredasdorp,-34.5322,20.0403,15.79,86,4,5.7,ZA,1699053968
106,dickinson,29.4608,-95.0513,22.31,78,0,4.12,US,1699054302
107,galesong,-5.3166,119.3661,26.01,70,74,2.61,ID,1699054065
108,iqaluit,63.7506,-68.5145,-2.15,64,75,8.23,CA,1699053961
109,alaghsas,17.0187,8.0168,25.4,17,1,4.91,NE,1699054303
110,westport,41.1415,-73.3579,12.11,65,0,6.69,US,1699054033
111,tchintabaraden,15.8969,5.7985,27.3,15,94,3.51,NE,1699054303
112,tommot,58.9564,126.2925,-16.21,94,100,3.41,RU,1699054304
113,xuanzhou,30.9525,118.7553,20.55,65,88,0.39,CN,1699054304
114,howard springs,-12.497,131.047,31.01,73,9,1.7,AU,1699054304
115,nantucket,41.2835,-70.0995,10.56,68,0,7.2,US,1699054229
116,st. john's,47.5649,-52.7093,4.43,83,75,3.09,CA,1699053861
117,yellowknife,62.456,-114.3525,-6.44,98,100,4.63,CA,1699053906
118,rio grande,-32.035,-52.0986,16.06,89,76,12.51,BR,1699054066
119,muynoq,43.7683,59.0214,11.46,36,100,2.56,UZ,1699054305
120,jammu,32.7333,74.8667,17.24,37,0,1.88,IN,1699054306
121,parkano,62.0167,23.0167,3.09,98,100,4.94,FI,1699054306
122,kalaleh,37.3807,55.4916,19.13,38,25,2.87,IR,1699054306
123,romanovskaya,47.5426,42.0285,13.33,68,100,3.13,RU,1699054307
124,beyneu,45.3167,55.2,10.59,50,26,4.1,KZ,1699054307
125,kirensk,57.7853,108.1119,-15.58,83,48,0.89,RU,1699054307
126,zuera,41.8677,-0.7898,7.73,66,75,0.34,ES,1699054307
127,saudarkrokur,65.7461,-19.6394,1.11,91,100,2.68,IS,1699054307
128,port alfred,-33.5906,26.891,16.21,93,100,1.79,ZA,1699054050
129,portland,45.5234,-122.6762,18.28,76,100,1.54,US,1699053692
130,brokopondo,4.75,-55.1667,27.14,78,37,5.35,SR,1699054308
131,happy valley-goose bay,53.3168,-60.3315,2.17,64,40,4.12,CA,1699053975
132,lompoc,34.6391,-120.4579,30.43,25,0,5.14,US,1699054035
133,walvis bay,-22.9575,14.5053,16.16,88,10,2.06,NA,1699054042
134,praia da vitoria,38.7333,-27.0667,18.2,88,75,10.71,PT,1699053860
135,santa rosa,14.3122,121.1114,29.48,84,28,2.31,PH,1699054063
136,kristiansund,63.1115,7.732,8.03,53,75,5.66,NO,1699054309
137,nybro,56.7446,15.9071,8.47,96,100,1.7,SE,1699054309
138,puerto maldonado,-12.6,-69.1833,25.22,78,75,0.0,PE,1699054002
139,ujae,8.9322,165.7642,28.36,71,98,7.36,MH,1699054310
140,ciudad lazaro cardenas,17.9583,-102.2,27.67,83,43,1.97,MX,1699054251
141,vorgashor,67.5833,63.95,-8.06,95,100,6.94,RU,1699053991
142,port macquarie,-31.4333,152.9167,22.16,75,55,3.38,AU,1699054311
143,keflavik,64.0049,-22.5624,3.24,75,0,7.72,IS,1699053998
144,nova sintra,14.8667,-24.7167,24.11,77,34,9.56,CV,1699053969
145,lebu,-37.6167,-73.65,10.86,80,5,7.16,CL,1699054006
146,badger,64.8,-147.5333,-3.07,63,100,6.69,US,1699053989
